year     character     pin1yin1     POS     lesson     definition     notes
1     穿     chuang1     verb     13     to wear     ...
1     帮     bang1     verb     13     to help     ...
1     试     shi4     verb     13     to try, to try on     ...
1     比较     bi3jiao4     verb     13     to compare     also means \'comparatively\' as an adverb
1     比较     bi3jiao4     adverb     13     comparatively     also means \'to compare\' as a verb
1     衬衫     chen4shan1     noun     13     shirt     
1     错     cuo4     noun     13     mistake     不错 = not bad (adjective)
1     或者     huo4zhe3     conjunction     13     or     can\'t be used in an interrogative sense (\'I\'ll eat a banana or an apple,\' not \'should I eat a banana or an apple?\'... that would use 还是)
1     便宜     pian2yi2     adjective     13     cheap     ...
1     让     rang4     verb     13     to allow     ...
1     钱     qian2     noun     13     money     ...
1     票     piao4     noun     13     ticket     ...
1     逛街     guang4jie1     verb     13     to go shopping, to take a stroll     ...
1     岁     sui4     verb     14     to be # years old     i.e. 我岁十八
1     空     kong4     noun     14     empty air, freetime     有空 is to have freetime
1     过     guo4     verb     14     to pass/celebrate     过生日
1     为     wei4     preposition     14     for     para: recipient of an action (i.e. I do it for her)
1     一定     yi2ding4     adverb     14     certainly     ...
1     派对     pai4dui4     noun     14     party     cognate
1     跳舞     tiao4wu3     verb     14     to dance     ...
1     送给     song4gei3     verb     14     to gift to     ...
1     接送     jie1song4     verb     14     to pick somebody up or drop them off     ...
1     棒     bang4     adjective     14     awesome or bat     ...
1     开舞会     kai1wu3hui4     verb     14     to host a party     ...
1     请     qing3     verb     14     to invite     also adverb: please
1     开晚会     kai1wan3hui4     verb     14     to host a party     ...
1     听到     ting1dao4     verb     14     to hear     ...
1     听说     ting1shuo1     verb     14     to hear somebody say     ...
1     好听     hao3ting1     adjective     14     good sounding     ...
1     唱歌     chang4ge1     verb     14     to sking     ...
1     音乐     yin1yue4     noun     14     song     ...
1     星期     xing1qi1     noun     14     week     ...
1     参加     can1jia1     verb     14     to join     ...
1     蛋糕     dan4gao1     noun     14     cake     ...
1     地图     di4tu2     noun     14     map     I\'m the map, I\'m the map, I\'m the map! (earth diagram)
1     图书馆     tu2shu1guan3     noun     14     the library     ...
1     礼物     li3wu4     noun     14     present     ...
1     前边     qian2bian1     preposition     15     in front of     ...
1     后边     hou4bian1     preposition     15     behind     ...
1     参观     can1guan1     verb     15     to visit     also to look around
1     里边     li3bian1     preposition     15     inside     ...
1     厨房     chu2fang2     preposition     15     kitchen     ...
1     旁边     pang2bian1     preposition     15     next to     ...
1     客厅     ke4ting1     noun     15     living room     ...
1     走     zou3     verb     15     to go     Adverbial phrase: 走 + method of transportation
1     走路     zou3lu4     verb     15     to walk     ...
1     餐厅     can1ting1     noun     15     dining room     ...
1     餐馆     can1guan3     noun     15     restaurant     ...
1     餐桌     can1zhuo1     noun     15     dining table     ...
1     早餐     zao3can1     noun     15     breakfast     ...
1     午餐     wu3can1     noun     15     lunch     ...
1     晚餐     wan3can1     noun     15     dinner     ...
1     洗澡     xi3zao3     verb     15     to shower or to bathe     ...
1     洗澡间     xi3zao3jian1     noun     15     bathroom, full bath     ...
1     洗手间     xi3shou3jian1     noun     15     bathroom, half bath     ...
1     卧室     wo4shi4     noun     15     bedroom lie down + room     ...
1     桌子     zhuo1zi5     noun     15     table     ...
1     书桌     shu1zhuo1     noun     15     desk     ...
1     窗户     chuang1hu5     noun     15     window     window + household (户 = 4)
1     公园     gong1yuan4     noun     15     park     ...
1     真     zhen1     adverb     15     really     ...
1     左边     zuo3bian1     preposition     15     left     ...
1     右边     you4bian1     preposition     15     right     ...
1     干净     gan1jing4     adjective     15     clean     ...
1     乱     luan4     adjective     15     messy     ...
1     厕所     ce4suo3     noun     15     toilet     ...
1     公共厕所     gong1gong4ce4suo3     noun     15     public restroom     ...
1     椅子     yi3zi5     chair     15     chair     ...
1     还有     hai2you3     conjuction     15     furthermore in addition, and (emphasized)     ...
1     还没     hai2mei2     conjuction     15     not yet     ...
1     篮球     lan2qiu2     noun     16     basketball     verb: 打
1     得     de5     particle     16     particle for a result, possibility, or degree     S V O V 得 adv adj
1     俩     lia3     adjective     16     both, two (people)     colloquial, following pronoun (i.e. 我们俩在图书馆看书)
